       1( (5,88),       ,       ,       )	X
       2( (5,89),       ,       ,       )	Y
       3( (5,81),       ,       ,       )	Q
       4(  (1,4), (3,49),       , (5,81))	Q = 1
       5(  (1,4), (3,53),       , (5,88))	X = 5
       6(  (1,4), (3,98),       , (5,89))	Y = 11
       7( (2,10), (5,88), (5,89),  (0,1))	T1=X GT Y
       8(  (2,1),  (0,1), (5,81),  (0,2))	T2=T1 AND Q
       9( (2,12),  (0,2), (6,10), (6,13))	IF T2 GO TO 10, ELSE GO TO13
      10(  (1,5), (5,88), (3,49),  (0,3))	T3 = X+1
      11(  (1,4),  (0,3),       , (5,88))	X = T3
      12( (2,11),       ,       , (6,15))	GTO (6,15)
      13(  (1,5), (5,88), (3,50),  (0,4))	T4 = X+2
      14(  (1,4),  (0,4),       , (5,88))	X = T4
      15(  (2,6),       ,       ,       )	 ENP
